Data transakcji	Cena transkacji	pow	cena metra	prawa	waga	nic	pusta	cosjednak	test1	test2	test3
31/12/2010		99,00				1/1/2012					
1/1/2011		100,00	3 000,00						dd	dd	dd
2/1/2011		100,00	3 500,00								
3/1/2011		101,00	3 501,00								
4/1/2011	300 000,00	102,00	3 502,00								
5/1/2011	350 000,00	103,00	3 503,00								
6/1/2011	350 001,00	104,00	3 504,00								
7/1/2011	350 002,00	105,00	3 505,00								
8/1/2011	350 003,00	106,00	3 506,00	własność							
9/1/2011	350 004,00	107,00	3 507,00	użytkowanie							
10/1/2011	350 005,00	108,00	3 508,00	użytkowanie							
11/1/2011	350 006,00	109,00	3 509,00	użytkowanie	11,00						
12/1/2011	350 007,00	110,00	3 510,00	użytkowanie	12,00						
13/1/2011	350 008,00	111,00	3 511,00	użytkowanie	13,00						
14/1/2011	350 009,00	112,00	3 512,00	użytkowanie	14,00						
15/1/2011	350 010,00	113,00	3 513,00	użytkowanie	15,00						
16/1/2011	350 011,00		3 514,00	użytkowanie	16,00						
								ddd			
